11,384,8,568,115
1279,267,1520,642,143
1719,492,1522,678,251
1777,382,648,46,258
1847,389,1033,1033,286
1544,416,1537,1581,287
1710,427,1543,544,194
785,313,568,527,268
104,314,642,1590,197
1803,315,678,548,199
1859,317,548,1399,163
569,322,544,1309,338
1832,326,1399,939,89
627,336,817,817,385
335,354,1512,1193,749
1669,355,600,1313,795
663,255,607,1677,1416
1695,46,393,1691,456
1833,30,1826,1693,1027
1601,277,1827,956,145
463,278,1284,1386,142
545,282,1322,998,134
1037,283,1694,1886,141
1552,232,1671,626,61
92,488,582,1629,63
1563,502,1462,1705,65
1632,266,872,1012,712
1785,358,1035,1544,140
1683,1094,1040,1680,1421
1809,1096,772,522,1359
1853,1103,1206,1107,1417
1434,1104,1423,1410,594
1574,1203,1557,982,455
1760,533,1689,531,500
1789,930,1560,281,187
1836,931,1772,1745,144
58,933,326,731,117
1566,934,336,1729,166
1764,994,1521,694,97
1604,898,1790,1095,171
1651,939,1244,393,179
1713,947,14,892,185
426,993,19,513,155
1616,904,189,266,133
1661,244,1030,594,527
1343,423,1629,381,432
1442,475,1705,158,400
1641,487,1169,1066,484
1225,1106,1810,162,328
646,1193,1172,1332,568
1035,789,1538,953,522
1568,837,64,988,540
438,847,1882,1359,605
544,634,1441,1463,526
652,568,46,1423,642
1216,642,837,698,458
1382,513,383,1625,313
1399,594,486,1884,446
1431,522,1339,1568,317
1581,531,399,1333,283
633,539,139,11,152
1313,158,1712,539,320
1383,162,1001,1458,375
1486,626,535,1106,646
1487,1581,1636,784,508
1565,1582,1113,649,1066
268,1583,1581,906,510
387,1589,956,1380,55
568,1886,1359,997,553
642,678,281,1462,719
678,527,1095,486,513
1556,928,1330,1591,404
10,688,1371,358,369
527,697,1699,1072,374
622,974,1701,1723,390
1165,1125,217,384,1637
1488,1127,388,1086,1524
1841,1130,1632,1849,1841
1855,1516,322,66,1460
5,1119,847,1038,1227
46,381,527,1045,737
69,243,1590,1812,494
644,1304,483,1206,261
1590,943,1309,1261,66
1869,73,1386,1271,453
1569,332,1768,1284,459
1088,1351,1850,1811,817
473,1028,867,1322,529
979,1033,1680,646,127
1027,548,1796,1683,130
1028,553,1344,1505,544
1033,557,1573,267,318
1106,561,1723,1434,386
624,699,1735,1728,1166
626,1590,1638,1761,441
748,1623,303,1306,1521
879,1529,271,1638,1527
922,1596,1571,780,1310
953,1629,1618,438,360
1032,1705,1036,1344,319
1048,222,1713,872,409
1066,66,1375,1417,694
1309,249,958,1301,305
1625,305,395,750,551
1701,438,1665,1510,622
1886,218,1225,1582,316
384,219,624,375,314
613,302,1593,600,384
630,417,1640,1361,425
1017,431,212,607,267
1029,631,1758,1529,764
1030,1008,1759,365,196
1212,1108,1766,782,501
1217,1122,1856,1246,99
1228,1219,1745,1379,539
1429,318,1107,1461,88
1884,319,297,1623,98
233,327,1265,1232,988
907,360,1575,1701,105
908,375,912,1166,531
942,409,1425,633,769
1410,641,348,1713,1845
1664,659,753,634,1697
1877,726,1580,994,1448
45,733,700,1696,1276
67,679,313,851,210
645,718,314,852,1433
985,564,375,926,1258
1065,365,1729,1848,1256
1071,80,215,961,518
1075,1544,228,1624,547
1166,1664,230,208,485
9,1332,231,662,1269
139,1461,240,772,537
381,1534,241,73,1095
1795,866,1246,918,552
1812,1052,1379,1087,681
1843,483,1145,1372,625
4,544,1173,578,1230
189,780,31,1563,1303
208,1373,33,1689,232
1006,1415,1410,407,359
1333,1418,1257,1455,559
1349,1426,1266,483,573
1811,1436,774,775,96
1638,1403,435,536,90
1646,1413,436,1096,204
1689,565,1352,1304,1635
1837,571,1449,189,1757
1510,744,1539,1103,311
1678,758,869,1104,215
1708,883,643,1472,240
1717,982,1819,1768,230
1722,1012,1439,139,339
1727,906,1260,597,327
1728,998,1771,1850,252
1761,1049,1563,1692,266
1792,961,754,1439,614
158,1625,414,30,773
162,1677,252,883,727
547,1691,1743,1780,344
548,1692,1502,1758,610
638,1693,1047,1759,340
653,1562,911,912,869
657,1688,1703,1521,711
731,525,1024,68,558
736,735,615,1766,495
838,694,739,637,1493
1047,341,1013,1856,569
1101,655,1112,357,824
1332,740,939,326,450
1681,1292,244,904,222
25,606,423,1349,695
525,1232,1193,336,706
732,723,66,244,651
735,728,1677,837,322
906,1199,1691,1841,884
980,1624,1824,947,289
982,698,1825,423,1250
988,1762,55,1512,793
998,1505,870,1796,883
1012,851,1120,55,454
1623,852,1137,933,457
1762,68,1144,648,272
2,444,1157,444,288
1624,357,1164,847,292
1648,1038,1170,1735,750
1655,1045,1553,322,1285
1798,1050,597,802,707
3,1022,766,999,778
649,1015,1223,914,371
716,1073,1248,1716,823
898,782,441,811,408
939,784,11,1136,740
972,900,1716,1441,666
997,731,1434,929,307
999,732,1715,1764,717
1001,511,1757,571,593
1007,1313,1360,2,731
1067,1399,1046,867,447
698,1372,216,1552,192
750,1594,1748,1493,632
947,884,1063,313,636
1034,892,209,1022,924
1180,926,201,314,1438
1461,919,1487,641,561
1582,965,1031,993,702
1583,1309,1731,1877,701
1589,1261,1702,616,690
782,1361,1383,1288,474
793,1234,657,1330,1482
817,1301,1730,545,1475
851,1306,893,215,708
852,1316,311,613,403
897,1378,1155,1225,772
1070,1386,560,744,125
1181,1329,1693,228,1087
1441,1340,1038,631,1320
1493,858,1045,726,1271
1677,902,1463,1371,216
1691,407,761,230,709
1692,459,1591,565,732
1693,468,1849,231,1418
730,474,616,761,1313
741,328,992,659,1086
764,385,1531,240,1272
780,446,1749,492,1054
784,453,1750,241,1055
812,455,1859,972,1056
872,456,1747,431,811
963,484,354,733,934
971,988,355,1314,1081
976,750,1096,243,951
977,817,1103,925,954
993,1072,1104,1378,1038
1049,1086,883,1049,1045
1222,1025,1072,980,1046
1271,1054,1086,1028,1051
1273,1055,1780,1071,1053
1387,1780,775,1717,671
1396,1588,1148,1035,939
1397,1758,1149,758,511
1422,1759,1152,1015,952
1439,1763,1153,1054,927
1452,1766,1158,1055,1461
1455,1768,651,1125,948
209,1850,765,1859,1186
350,1856,903,249,434
512,918,1767,552,668
513,925,353,1127,1199
534,901,1740,1632,723
535,1385,1600,1664,728
576,956,1428,1130,638
590,860,1453,1596,242
594,865,1734,1047,517
632,867,1554,1571,805
797,857,894,1002,521
853,1014,888,1708,1590
884,536,1097,1300,1589
892,832,1100,1727,1583
910,813,1102,1767,436
918,721,1201,1258,667
926,810,1150,1169,509
948,864,1151,417,897
1107,1493,1154,1122,782
1184,822,1205,354,1143
1185,1458,699,1172,1050
1200,1463,1313,58,733
1221,1468,858,355,659
1261,1469,1458,297,609
1326,1087,1417,804,977
1361,578,1380,254,976
1370,1143,1685,10,1455
1532,662,1252,294,943
1635,637,490,808,698
1723,664,1611,488,541
1835,450,421,1594,867
201,772,972,502,1373
380,761,312,1397,615
393,687,1877,1422,566
524,693,1764,663,655
811,1359,72,1487,1134
904,1417,1831,359,525
912,1421,1214,1030,1372
943,1460,1867,1762,1351
956,281,1488,1065,280
1186,238,1026,1699,933
1193,479,1346,475,944
1327,323,736,419,935
1587,1785,1501,487,557
1591,1683,572,870,925
1619,1680,720,1847,918
1620,1682,558,1340,995
1626,1696,522,1573,898
1627,1729,998,219,1194
1633,1745,511,992,866
1634,1848,328,1120,1222
1642,1796,1333,302,1397
1645,830,649,1137,75
1793,1134,997,1145,217
1849,550,1491,624,1277
71,562,1578,1383,578
178,646,48,335,1304
346,1105,1166,1011,971
498,256,1348,232,700
618,1812,1362,943,202
665,1811,214,4,763
694,1510,196,1143,461
802,1717,408,1681,109
804,1653,351,1006,205
808,1684,790,1604,198
833,1706,225,1173,236
1123,1824,226,699,931
1143,1825,1637,3,930
1207,55,242,679,994
1226,294,1305,1144,415
1234,298,1506,330,1057
1250,330,1369,991,1062
1294,339,200,339,662
1298,359,373,1075,905
1299,369,401,718,1587
1301,370,400,1004,1671
1306,374,715,399,1535
1316,390,1793,1565,250
1378,391,1555,1348,350
1386,404,547,1157,382
1392,429,638,986,373
1423,410,838,1712,496
1541,411,1643,1785,788
1586,215,172,1362,493
1592,228,306,1164,758
1597,230,1720,366,826
1598,231,531,1170,1330
1639,240,694,1685,571
1644,241,459,1460,1429
1647,263,914,383,1447
1659,663,929,1001,678
1660,1288,1066,1025,1427
1665,1380,725,391,1105
1667,1376,691,725,1154
1672,1184,494,1771,490
1680,1200,889,404,70
1682,1326,566,67,367
1731,366,825,1431,674
1765,703,836,766,312
1874,1884,621,1148,830
36,552,791,104,729
159,1095,1607,1101,781
207,264,1101,25,628
223,275,1241,1385,203
243,1567,1548,1695,184
247,1685,1609,889,191
285,752,69,1149,195
466,1222,716,697,176
662,1397,1518,1488,650
771,1422,227,1618,928
822,1350,1549,985,361
1002,1404,266,1152,974
1087,1708,679,312,229
1237,1727,718,1468,514
1242,1728,571,1557,815
1247,1761,744,1665,433
1249,1107,1012,1153,128
1254,775,892,209,77
1256,913,294,774,244
1258,914,359,1669,460
1270,929,1350,14,1292
1288,957,1404,1158,1181
1300,986,953,19,1796
1314,991,1271,858,1508
1315,1004,719,1491,1346
1323,1011,1517,1837,1266
1380,1206,1519,1579,1265
1513,1246,1841,1578,1425
1584,1344,980,525,1260
1673,1379,496,535,699
1696,1364,983,785,235
1702,831,981,201,211
1703,1187,917,735,226
1712,803,1367,812,1232
1729,845,1058,435,1368
1730,870,1669,496,464
1745,1120,257,765,1131
1848,1137,1792,1037,1848
40,868,1212,436,26
334,1144,1429,410,326
505,1145,601,1350,761
522,1148,1211,1574,759
529,1149,796,411,639
530,1152,1662,1760,1537
531,1153,770,1823,1681
536,1157,681,303,349
539,1158,488,1404,411
540,1164,502,643,355
552,1168,475,825,363
577,1169,487,1034,407
578,1170,641,459,548
637,1172,726,879,640
737,1173,565,836,515
844,1174,758,907,1008
961,1177,687,271,1211
1095,1178,693,657,391
1139,1182,605,1352,429
1214,1435,1314,1345,298
1218,383,1349,387,370
1376,812,439,1819,321
1445,575,440,1449,379
1446,486,54,645,1419
1457,1568,1440,910,1219
1458,1472,43,930,68
1463,1462,44,931,881
1468,792,499,441,348
1469,953,764,557,357
1472,1066,1051,1200,507
1501,1320,1159,1234,479
1505,442,659,898,882
1514,755,733,473,968
1518,848,1011,1237,132
1521,849,477,31,1634
1536,1198,526,1265,1644
1643,168,921,1824,1639
1676,254,1039,33,1092
1716,477,274,1339,35
1875,180,75,1825,1642
68,265,1,69,1723
73,1135,24,494,1702
148,1136,52,1619,1729
168,1156,886,319,683
172,1553,50,463,488
177,1271,1017,1538,1426
236,342,1561,687,1415
254,725,1029,1626,323
281,13,350,1703,1324
365,14,692,1798,564
419,19,937,1627,1212
444,20,684,693,572
1239,21,982,268,1208
1240,31,731,651,1200
1264,32,1136,1583,743
1284,33,999,1706,1444
1305,34,1020,1645,1364
1310,503,1357,1830,1002
1311,633,104,1589,439
1322,1059,1569,1257,1033
1506,651,1704,897,1506
1512,691,632,1731,1512
1527,495,445,1840,1031
1571,500,841,1749,1099
1820,508,330,278,1247
72,667,339,1845,1257
238,840,410,1305,378
266,422,411,511,341
267,509,1884,736,254
306,510,991,1506,1674
312,518,1004,719,1629
329,1660,1568,238,1613
357,1667,1472,1829,1663
358,1672,1183,1223,550
366,639,1188,318,736
443,583,1823,479,1106
479,648,1804,1248,345
496,1160,1542,1008,1604
634,458,1514,1181,1764
925,1339,816,72,297
950,1538,994,524,1365
970,654,1886,327,1730
1232,717,557,490,1242
1304,1619,1505,963,1262
1329,1626,1015,1562,1253
1340,1627,988,547,1249
1498,1645,391,40,1251
1511,811,404,638,1126
1528,134,986,1212,631
1542,141,1345,1702,1246
1686,142,1494,1688,1573
1735,145,1464,1569,504
1767,990,1405,884,1286
1771,802,1237,976,1237
1831,804,320,838,1132
1844,808,959,1429,691
30,833,1535,218,726
308,1565,1032,958,1108
345,1681,1676,1266,300
392,1591,1714,1017,1067
407,1849,610,903,840
415,1592,556,1312,895
420,1597,539,1792,567
422,1333,626,1810,126
425,1345,1674,1165,103
432,1070,1289,732,1255
458,649,1290,1366,1229
492,997,1312,1046,635
631,1365,1311,691,1511
1008,489,1815,844,157
1099,494,1507,1374,565
1108,501,1455,1316,892
1109,719,1420,1616,912
1110,1410,708,1029,534
1118,1224,666,793,741
1119,1267,454,427,530
1121,1586,1372,1469,563
1122,1598,453,283,444
1125,597,484,716,843
1127,598,701,1542,842
1128,599,1523,1081,1187
1129,600,1006,1592,106
1130,607,1604,1722,1600
1135,608,985,1221,1566
1136,591,768,1494,234
1156,734,1533,1597,1379
1312,526,1186,1660,260
1508,605,358,477,219
1529,701,1529,388,844
1577,702,1022,1667,1580
1579,704,1081,1793,1377
1580,705,1847,1057,1414
1593,1300,714,1553,168
1594,889,853,1219,497
1596,1455,540,1682,190
1608,1057,737,1062,123
1629,1062,1264,1577,1223
1649,208,537,1686,1547
1650,616,1696,217,904
1705,1427,1848,1838,1818
1774,1443,518,1032,900
246,1456,1323,468,1248
486,566,126,1842,1252
493,393,513,1247,180
692,514,594,1608,1198
738,515,1232,1803,780
1026,516,1320,901,249
1058,517,1552,1740,212
1064,520,18,1844,100
1072,521,757,341,116
1086,532,698,389,101
1091,542,784,342,121
1092,543,1830,1214,915
1219,549,23,1678,1333
1227,805,1620,315,1345
1244,815,709,1672,451
1330,950,103,45,351
1348,316,468,9,1163
1351,1423,179,317,829
1359,1002,185,1108,827
1362,10,1840,382,1141
1366,4,1845,1566,822
1371,2,1595,1655,366
1372,3,1306,216,6
1374,430,134,1639,1806
1416,233,145,1644,1210
1417,9,208,168,697
1421,419,969,305,543
1435,378,186,1351,264
1460,288,1261,1464,1543
1462,297,407,92,1538
1474,290,29,1207,1339
1475,827,1788,1376,582
1476,829,1067,1831,1159
1477,842,1728,422,1664
1481,843,1761,1252,1332
1482,1163,545,1730,435
1484,113,1181,233,1403
1485,130,1258,1697,1473
1489,131,96,414,238
1490,135,107,282,542
1497,403,1576,395,520
1499,765,1053,1520,532
1500,766,677,1882,1018
1515,1491,625,1502,875
1599,1578,431,1684,443
1640,333,365,1522,449
1697,1294,1332,1311,803
1711,1298,1301,928,845
1778,1299,802,1435,1626
1791,1283,1456,1743,1645
1801,1243,419,917,1570
1805,1071,1579,1244,1070
1807,1270,1829,1826,859
1808,1284,1366,764,108
1810,1322,1374,605,124
1817,1221,1862,1827,516
1818,1242,645,1601,342
1822,1247,36,252,1025
1823,1249,1544,1326,1443
1829,1256,578,1537,801
1830,1258,662,1834,225
1834,1239,1812,569,1450
1838,1220,1811,1239,618
1840,1238,141,1543,1123
1842,1262,142,1292,592
1845,1223,966,526,1327
239,1230,1838,608,771
585,1248,1842,1024,902
597,1253,1259,822,1456
598,1257,86,849,1361
599,1265,120,860,1608
600,1433,850,865,1125
601,1251,1307,1063,880
607,1252,1336,1646,118
608,1255,788,922,306
609,1266,1403,1184,1009
615,1282,1002,1661,149
830,695,613,1795,1215
940,879,1654,1387,1442
951,123,1324,1593,1241
954,149,1779,1654,1544
955,1034,1291,1396,562
992,179,465,1249,80
1024,185,424,1224,1565
1025,94,747,334,284
1031,152,82,350,1659
1038,154,267,1580,1667
1040,155,232,1222,1696
1045,818,1054,688,1567
1046,819,1055,1119,122
1050,820,536,1031,784
1051,821,1087,1050,206
1053,1194,811,498,158
1054,807,702,1242,730
1055,876,1300,1040,164
1056,1579,1433,1421,865
1057,164,1615,632,860
1062,874,1878,1036,1712
1063,967,910,1750,1745
1081,774,1837,1058,585
1105,435,17,106,213
1134,436,1656,848,475
1206,441,1646,36,834
1246,490,89,1648,1160
1324,1577,1287,1734,806
1335,1608,278,369,836
1344,1573,933,974,1682
1379,825,158,1425,1785
1419,834,162,1748,423
1492,835,381,1178,679
1560,836,249,1757,718
1562,1723,1361,1403,64
1618,1587,637,1653,1344
1636,1633,154,222,1353
1653,1639,155,5,1122
1654,1644,406,274,962
1684,859,106,429,1459
1688,1387,1574,1501,1385
1699,1396,413,1640,986
1707,1308,380,1560,304
1714,1388,153,458,1220
1718,1389,156,1641,1221
1755,1391,427,1279,1424
1772,863,417,1177,852
1779,49,906,1587,421
106,47,961,919,74
216,907,1625,1067,1004
222,942,1510,913,654
248,963,275,1772,365
371,1019,1178,1633,1849
388,903,13,1327,1592
397,941,503,214,1598
398,960,2,621,1399
424,1089,826,894,406
616,1140,58,1026,1273
775,118,25,1636,1534
846,253,295,255,362
893,190,1732,970,1234
894,325,524,957,779
895,478,897,298,929
913,480,16,1418,914
914,482,1139,639,957
915,1273,1617,853,958
917,1314,1446,1643,947
923,1335,1056,1791,975
924,973,1622,275,993
927,84,110,1020,1064
928,1090,634,1070,120
929,1065,1418,48,343
930,1075,357,1456,549
931,1183,750,172,687
932,1188,901,921,502
933,1195,1177,1869,1079
934,1196,254,374,1022
935,1197,633,1039,1436
936,1202,1224,1135,276
937,1474,290,1518,762
944,1475,1525,1183,1507
946,1476,27,1156,188
952,1481,67,1186,151
957,1482,1431,1188,161
