TRT2000,FIRST_FIPS,FIRST_STFI,FIRST_TRAC,Xcord,Ycord
030302,06075,06075030302,303.02,-122.47157,37.75184
030400,06075,06075030400,304,-122.46744,37.74683
030500,06075,06075030500,305,-122.45243,37.75161
030600,06075,06075030600,306,-122.45703,37.74359
030700,06075,06075030700,307,-122.45009,37.73732
030800,06075,06075030800,308,-122.46762,37.73903
030900,06075,06075030900,309,-122.46806,37.72812
031000,06075,06075031000,310,-122.45703,37.72842
031100,06075,06075031100,311,-122.44621,37.72919
031200,06075,06075031200,312,-122.45499,37.72068
031300,06075,06075031300,313,-122.46712,37.71568
031400,06075,06075031400,314,-122.45684,37.71456
032600,06075,06075032600,326,-122.48176,37.76039
032700,06075,06075032700,327,-122.49114,37.76001
032800,06075,06075032800,328,-122.48087,37.74920
032900,06075,06075032900,329,-122.49029,37.74880
033000,06075,06075033000,330,-122.48446,37.73832
033100,06075,06075033100,331,-122.48679,37.73202
033201,06075,06075033201,332.01,-122.47937,37.72608
033202,06075,06075033202,332.02,-122.47884,37.71739
035100,06075,06075035100,351,-122.49909,37.75748
035201,06075,06075035201,352.01,-122.50687,37.75465
035202,06075,06075035202,352.02,-122.50605,37.76122
035300,06075,06075035300,353,-122.49764,37.74234
035400,06075,06075035400,354,-122.50484,37.74222
040100,06075,06075040100,401,-122.46172,37.78516
040200,06075,06075040200,402,-122.46834,37.78435
042600,06075,06075042600,426,-122.47809,37.78319
042700,06075,06075042700,427,-122.48809,37.78221
042800,06075,06075042800,428,-122.48662,37.78677
045100,06075,06075045100,451,-122.46118,37.77750
045200,06075,06075045200,452,-122.46787,37.77704
047600,06075,06075047600,476,-122.47544,37.77669
047701,06075,06075047701,477.01,-122.48403,37.77816
047702,06075,06075047702,477.02,-122.48374,37.77441
047800,06075,06075047800,478,-122.49387,37.77641
047901,06075,06075047901,479.01,-122.50726,37.77596
047902,06075,06075047902,479.02,-122.50391,37.77911
060100,06075,06075060100,601,-122.46641,37.79760
060200,06075,06075060200,602,-122.50143,37.78457
060300,06075,06075060300,603,-122.48127,37.76896
060400,06075,06075060400,604,-122.52949,37.71830
060501,06075,06075060501,605.01,-122.41881,37.71779
060502,06075,06075060502,605.02,-122.41991,37.71099
060600,06075,06075060600,606,-122.36699,37.72513
060700,06075,06075060700,607,-122.39306,37.77214
060900,06075,06075060900,609,-122.39089,37.74507
061000,06075,06075061000,610,-122.39013,37.71340
101100,06041,06041101100,1011,-122.54080,38.13369
101200,06041,06041101200,1012,-122.54394,38.10093
102100,06041,06041102100,1021,-122.59117,38.13148
102201,06041,06041102201,1022.01,-122.58206,38.11374
103100,06041,06041103100,1031,-122.64617,38.11556
103200,06041,06041103200,1032,-122.58605,38.09833
104101,06041,06041104101,1041.01,-122.56405,38.07929
104102,06041,06041104102,1041.02,-122.55955,38.08852
104200,06041,06041104200,1042,-122.56941,38.06125
104300,06041,06041104300,1043,-122.50958,38.07787
105000,06041,06041105000,1050,-122.51553,38.05767
106001,06041,06041106001,1060.01,-122.51907,38.02900
106002,06041,06041106002,1060.02,-122.50642,38.00497
107000,06041,06041107000,1070,-122.58339,38.03844
108100,06041,06041108100,1081,-122.56315,38.01853
108200,06041,06041108200,1082,-122.54795,37.99957
109000,06041,06041109000,1090,-122.54033,37.98283
110100,06041,06041110100,1101,-122.50898,37.98255
110200,06041,06041110200,1102,-122.47568,37.98660
111000,06041,06041111000,1110,-122.53691,37.97022
112100,06041,06041112100,1121,-122.52092,37.96086
112200,06041,06041112200,1122,-122.49907,37.95742
113000,06041,06041113000,1130,-122.66633,38.01389
114100,06041,06041114100,1141,-122.59411,37.97604
114200,06041,06041114200,1142,-122.59965,38.00321
115000,06041,06041115000,1150,-122.58293,38.00579
116000,06041,06041116000,1160,-122.57592,37.97955
117000,06041,06041117000,1170,-122.56393,37.97466
118100,06041,06041118100,1181,-122.56175,37.96348
118200,06041,06041118200,1182,-122.63817,37.96327
119100,06041,06041119100,1191,-122.55334,37.94723
119200,06041,06041119200,1192,-122.52600,37.94935
120000,06041,06041120000,1200,-122.53789,37.93567
121100,06041,06041121100,1211,-122.52298,37.92411
121200,06041,06041121200,1212,-122.50373,37.93037
122000,06041,06041122000,1220,-122.49018,37.93997
123000,06041,06041123000,1230,-122.46599,37.87303
124100,06041,06041124100,1241,-122.49241,37.90619
124200,06041,06041124200,1242,-122.45331,37.88040
125000,06041,06041125000,1250,-122.50780,37.89103
126100,06041,06041126100,1261,-122.54050,37.91202
126200,06041,06041126200,1262,-122.52226,37.90206
127000,06041,06041127000,1270,-122.55842,37.91040
128100,06041,06041128100,1281,-122.53196,37.87176
128200,06041,06041128200,1282,-122.54624,37.89344
129000,06041,06041129000,1290,-122.51295,37.86919
130200,06041,06041130200,1302,-122.49246,37.85895
131000,06041,06041131000,1310,-122.55641,37.87114
132100,06041,06041132100,1321,-122.68071,37.92260
132200,06041,06041132200,1322,-122.84942,38.05079
133000,06041,06041133000,1330,-122.79100,38.17117
150100,06097,06097150100,1501,-122.43061,38.21619
150201,06097,06097150201,1502.01,-122.45797,38.28097
150202,06097,06097150202,1502.02,-122.43937,38.31880
150302,06097,06097150302,1503.02,-122.47410,38.33614
150303,06097,06097150303,1503.03,-122.52347,38.30009
150304,06097,06097150304,1503.04,-122.49029,38.30669
