desired k,max years,resulting k,subset indices and weights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2500,128,2,4,5,6,10,11,12,13,14,15,19,20,21,22,33,34,40,49,50,51,52,54,55,56,57,58,60,61,64,65,66,67,71,72,73,74,75,76,78,81,85,87,88,96,97,99,101,102,105,106,107,108,109,110,114,115,116,118,119,126,127,192,219,224,229,232,233,234,235,237,241,254,259,273,274,325,632,636,638,639,640,648,664,681,687,688,689,692,693,696,698,701,704,706,710,715,859,860,864,865,867,1001,1090,1099,1108,1175,1176,1179,1184,1185,1187,1256,1364,1387,1445,1450,1464,1473,1478,1487,1488,1489,1543,1553,1557,1558,1559,1563
,,,0.000736569,0.001424679,0.00105299,0.001117453,0.000237067,0.000628572,0.001528698,0.000980948,0.0004,0.000143259,0.00027518,0.000672501,0.000341677,0.000118484,0.000253964,0.00030618,0.002131223,0.000626897,0.000467631,0.000943467,7.01E-05,6.57E-05,0.000302982,0.000610344,0.00041372,0.000506645,0.000619603,1.87E-05,0.000498146,0.000512714,0.00034473,0.000382333,0.00026951,0.000790253,0.000468183,0.000373133,0.000437504,0.000184193,0.000131471,0.000140728,0.000395366,0.000402923,7.51E-05,0.000363434,0.000734409,0.000268402,5.88E-05,0.000136872,0.000104844,0.000338649,0.000382333,0.000621323,0.000215807,0.000157055,8.20E-05,7.51E-05,0.000222571,0.000708876,0.000441084,0.000321358,0.000561403,0.000848401,6.93E-05,0.00034564,2.49E-05,0.000361072,0.000140732,0.00016389,0.000219522,0.000582082,0.00020261,0.000250567,5.27E-05,0.000240641,5.74E-05,0.000123064,0.000241605,0.000217759,0.000226578,0.000597454,0.000506645,0.000635518,0.000146803,0.000493517,0.001077676,0.000330032,0.000123064,0.000338814,0.000380738,0.000136262,0.001078736,0.000457412,0.000128377,0.000184024,0.000112264,0.000140728,0.001026009,0.000725535,0.003468026,0.001392501,0.000232595,0.000615104,0.000408017,0.000329028,0.000159786,0.00061189,0.0001707,0.000440855,0.000768089,0.000396101,0.000299775,0.001558696,8.33E-05,5.92E-05,0.000247895,0.000968044,6.15E-05,0.00010385,0.00039161,0.000261139,0.000367531,0.000424665,0.000357009,0.000248356,0.000140901,0.000259099,0.000122838,0.000239027
