Latitude,Longitude,Vs30,Census_tract
37.84257856,-122.28985719999999,276.30001830000003,6001425103.0
37.83263684,-122.2834131,316.4023743,6001425104.0
37.821620200000005,-122.22538759999999,577.2053833,6001426100.0
37.76592608,-122.2322855,305.3262939,6001427100.0
37.77146918,-122.26904920000001,259.8187866,6001427800.0
37.74276336,-122.2466287,232.22712709999996,6001428302.0
37.72135971,-122.08348319999999,438.5214233,6001430300.0
37.70610994,-122.08224799999999,504.3453674,6001430700.0
37.68802216,-122.06736540000001,334.65829469999994,6001431100.0
37.71672945,-122.1661236,268.0239563,6001432501.0
37.70928622,-122.1391736,227.2973938,6001433103.0
37.69857209,-122.15749070000001,251.7097626,6001433300.0
37.69925106,-122.11354779999999,571.9384155,6001433900.0
37.68071198,-122.06468600000001,459.3137206999999,6001435300.0
37.6792844,-122.12954979999999,261.19787599999995,6001435800.0
37.66627793,-122.0917265,265.5465088,6001436300.0
37.64720473,-122.1015815,250.1522827,6001437000.0
37.64288117,-122.0876594,267.4625549,6001437400.0
37.638470899999994,-122.07345490000002,218.28329469999997,6001437702.0
37.62613136,-122.0764342,250.92454530000003,6001438201.0
37.62819044,-122.0884882,240.897995,6001438300.0
37.59820045,-122.0833572,218.2799683,6001440331.0
37.591333899999995,-122.0122922,248.4110107,6001440335.0
37.57171122,-122.038002,243.74432369999997,6001441401.0
37.58454144,-122.0572743,225.4389801,6001441522.0
37.55695916,-122.021271,264.54205319999994,6001441602.0
37.5530143,-121.9636328,274.6299133,6001441925.0
37.54826156,-121.94983549999999,258.3864746,6001442100.0
37.53718213,-121.98714640000001,244.88327030000002,6001442500.0
37.53716753,-122.00806329999999,254.06448360000002,6001442700.0
37.50712615,-121.92714380000001,444.28796389999997,6001443102.0
38.00335722,-122.3072475,406.8400574,6013359102.0
38.00949151,-122.2781057,379.3604736,6013359104.0
38.01438289,-122.2848239,356.1217651,6013359105.0
37.96891828,-122.2943143,431.7409058,6013360200.0
37.98316055,-122.3276082,424.3141785,6013365003.0
37.95428583,-122.3525028,272.3615417,6013368001.0
37.93846453,-122.330568,322.9891052,6013371000.0
37.92831772,-122.35674350000001,241.9489441,6013379000.0
37.90892178,-122.3116851,396.2452087,6013383000.0
37.91707484,-122.30594479999999,396.2452087,6013387000.0
37.52733008,-121.9027754,760.0,6001443103.0
37.53135301,-121.926644,412.18133539999997,6001443104.0
37.52177304,-121.93220320000002,485.0690613,6001443105.0
37.49027651,-121.9243455,519.442749,6001443321.0
37.5363268,-122.0352585,241.1915588,6001444400.0
37.70508504,-121.88522090000001,297.59481810000005,6001450101.0
37.70689204,-121.94190309999999,449.45822139999996,6001450501.0
37.65209902,-121.7774623,348.74063110000003,6001451102.0
37.69119218,-121.7841567,301.1667175,6001451403.0
37.69788967,-121.7322972,254.91235350000002,6001451504.0
37.67213042,-121.7879098,300.18225099999995,6001451701.0
37.79659462,-122.2929797,191.4466095,6001982000.0
38.00264556,-121.741003,276.3821411,6013302005.0
38.01321638,-121.7176987,228.33422850000002,6013302006.0
37.98369775,-121.73056100000001,315.57366939999997,6013302010.0
37.94314238,-121.7586355,270.4132385,6013303201.0
37.94221829999999,-121.71478,267.0115051,6013303202.0
37.92895438,-121.7087545,232.34622190000002,6013303204.0
38.00878941,-121.7631925,254.9382019,6013306002.0
37.99873488,-121.81419299999999,353.9875488,6013307102.0
37.98866881,-121.7665949,390.5071411,6013308002.0
38.0039942,-121.8644554,316.98593139999997,6013313102.0
38.01390846,-121.89927479999999,370.78866580000005,6013313206.0
38.02452984,-122.1388034,228.33422850000002,6013316000.0
37.99867705,-122.1074821,390.2868958,6013320003.0
37.95224952,-122.07207450000001,345.74490360000004,6013323000.0
37.97557073,-122.0377463,269.9430542,6013328000.0
